Event ID	Event Date	Event Type	Event Mode	Event Intensity	Quad Code	Contexts	Actor Name	Actor Country	Actor COW	Primary Actor Sector	Actor Sectors	Actor Title	Actor Name Raw	Wikipedia Actor ID	Recipient Name	Recipient Country	Recipient COW	Primary Recipient Sector	Recipient Sectors	Recipient Title	Recipient Name Raw	Wikipedia Recipient ID	Placename	City	District	Province	Country	Latitude	Longitude	GeoNames ID	Raw Placename	Feature Type	Source	Publication Date	Story People	Story Organizations	Story Locations	Language	Version
20240526-3200-87d898ec1a20_ASSAULT	2024-05-26	ASSAULT	None	-9.00	MATERIAL CONFLICT	military 	None	Russia	365	None	None	None	Russian	None	None	None	None	None	None	None	hardware store	None	Kharkiv	Kharkiv	None	Kharkiv	UKR	49.98081	36.25272	706483	Kharkiv	PPLA	Agence France Presse	2024-05-26	Synegubov | Oleg Synegubov | Klymenko | Igor Klymenko 	Telegram | Epitsentr 	Kharkiv 	English	NGEC_coder-Vers001-b1-Run-001
20240526-3600-120bb3fbb64e_ASSAULT_targeted	2024-05-26	ASSAULT	targeted	-10.00	MATERIAL CONFLICT	military 	Zionism	Israel	666	REL	REL	jewish	Zionist	Zionism	None	None	None	None	None	None	October 7 , 2023	None	None	None	None	None	None	None	None	None	Gaza Strip	None	Horizons	2024-05-26	None	Palestinian Health | Civil Protection 	None	French	NGEC_coder-Vers001-b1-Run-001
20240526-3714-0082c422776a_ASSAULT	2024-05-26	ASSAULT	None	-9.00	MATERIAL CONFLICT	military 	None	Russia	365	MIL	MIL	air force	Russian air defense forces	None	None; None; None	None; None; Ukraine	None; None; 369	MIL; MIL; MIL	MIL; MIL; MIL	rocket launcher; predator uav; predator uav	UAVs HIMARS rockets; UAVs ATACMS missiles; Ukrainian UAVs	None; None; None	Ukraine	None	None	None	UKR	49.0	32.0	690791	Ukraine	PCLI	World Service Wire	2024-05-26	None	Defense Ministry 	Ukraine | United States | Russian Federation 	English	NGEC_coder-Vers001-b1-Run-001
20240525-4168-8e61abeb0888_ACCUSE	2024-05-25	ACCUSE	None	-3.00	VERBAL CONFLICT	military | human_security 	None	None	None	None	None	None	Tamas Sulyok	None	None	Russia	365	None	None	None	Russian	None	Budapest	Budapest	None	Budapest	HUN	47.49835	19.04045	3054643	Budapest	PPLC	Bulgarian News Agency	2024-05-25	Rumen Radev | Radev | Sulyok | Tamas Sulyok 	None	Budapest | Ukraine | Republic of Turkey | Hungary | Republic of Azerbaijan | Republic of Bulgaria 	English	NGEC_coder-Vers001-b1-Run-001
20240526-4280-7b551f4ff9ef_ASSAULT	2024-05-26	ASSAULT	None	-9.00	MATERIAL CONFLICT	military 	None	Israel	666	MIL	MIL	army	Israel 's army	None	None	Israel	666	None	None	None	Israel	None	Rafaḩ	Rafaḩ	Rafah	Gaza Strip	PSE	31.29722	34.24357	281102	Rafah	PPLA2	Agence France Presse	2024-05-26	None	AFP 	Gaza Strip | Rafaḩ | State of Israel 	English	NGEC_coder-Vers001-b1-Run-001
20240526-4367-621100a84ed1_ASSAULT_targeted	2024-05-26	ASSAULT	targeted	-10.00	MATERIAL CONFLICT	None	None	Israel	666	None	None	None	Israeli	None	Familie	Belgium	211	JRN	JRN	television	families	Familie	None	None	None	None	None	None	None	None	Gaza Strip	None	Addustour	2024-05-26	None	The Palestinian Ministry of Health | “ Gaza Health ” 	None	Arabic	NGEC_coder-Vers001-b1-Run-001
20240526-4451-db4617d41d47_ASSAULT	2024-05-26	ASSAULT	None	-9.00	MATERIAL CONFLICT	military 	Zionism	Israel	666	REL	REL	jewish	Zionist occupier	Zionism	None	Palestinian Territories	None	None	None	None	Palestinians	None	None	None	None	None	None	None	None	None	Gaza Strip	None	Horizons	2024-05-26	None	Wafa 	Qishţah | State of Kuwait | Rafaḩ | Al Ḩalāl | Republic of Iraq | An Nuşayrāt 	French	NGEC_coder-Vers001-b1-Run-001
20240526-5131-ca762044a582_AID	2024-05-26	AID	NA	10.00	MATERIAL COOPERATION	military 	None	Israel	666	None	None	None	Israel	None	None	None	None	None	None	None	Gaza	None	None	None	None	None	None	None	None	None	Kerem Shalom	None	Reuters News	2024-05-26	Khaled Zayed | Joe Biden | Abdel Fattah al - Sisi 	Al Qahera News TV | X | the Egyptian Red Crescent | Reuters 	Gaza Strip | Rafaḩ | United States | State of Israel | Arab Republic of Egypt 	English	NGEC_coder-Vers001-b1-Run-001
20240526-5131-ca762044a582_RETREAT_access	2024-05-26	RETREAT	access	6.50	MATERIAL COOPERATION	military 	None	Israel	666	None	None	None	Israel	None	None	None	None	None	None	None	aid trucks	None	None	None	None	None	None	None	None	None	Kerem Shalom	None	Reuters News	2024-05-26	Khaled Zayed | Joe Biden | Abdel Fattah al - Sisi 	Al Qahera News TV | X | the Egyptian Red Crescent | Reuters 	Gaza Strip | Rafaḩ | United States | State of Israel | Arab Republic of Egypt 	English	NGEC_coder-Vers001-b1-Run-001
20240526-5131-ca762044a582_MOBILIZE	2024-05-26	MOBILIZE	None	-5.50	MATERIAL CONFLICT	military 	None	Israel	666	None	None	None	Israel	None	None	None	None	None	None	None	None	None	Gaza Strip	None	None	Gaza Strip	PSE	31.41667	34.33333	281132	Gaza	ADM1	Reuters News	2024-05-26	Khaled Zayed | Joe Biden | Abdel Fattah al - Sisi 	Al Qahera News TV | X | the Egyptian Red Crescent | Reuters 	Gaza Strip | Rafaḩ | United States | State of Israel | Arab Republic of Egypt 	English	NGEC_coder-Vers001-b1-Run-001
20240526-5446-a71a30464543_ACCUSE	2024-05-26	ACCUSE	None	-3.00	VERBAL CONFLICT	military | terrorism 	Karim Khan Zand	None	None	GOV	GOV	monarch	Karim Khan	Karim Khan Zand	None	Israel	666	None	None	None	Israel	None	None	None	None	None	None	None	None	None	British	None	Agence France Presse	2024-05-26	Netanyahu | Yahya Sinwar | Karim Khan | Khan | Yoav Gallant | Ismail Haniyeh | Mohamed Deif | Benjamin Netanyahu 	NATO | Hamas | International Criminal Court | ICC 	Africa | Gaza Strip | United States | State of Israel | Asia | United Kingdom of Great Britain and Northern Ireland 	English	NGEC_coder-Vers001-b1-Run-001
20240526-5594-bc8a3b33d841_MOBILIZE_troops	2024-05-26	MOBILIZE	troops	-6.50	MATERIAL CONFLICT	military | terrorism 	Hama	Syria	652	CVL	CVL	settlement	Hamas	Hama	None	Israel	666	None	None	None	Israel	None	Tel Aviv	Tel Aviv	None	Tel Aviv	ISR	32.08088	34.78057	293397	Tel Aviv	PPLA	Agence France Presse	2024-05-26	None	The Ezzedine al - Qassam Brigades | Hamas | Telegram 	State of Israel | Tel Aviv 	English	NGEC_coder-Vers001-b1-Run-001
20240526-6375-df6a203baf07_AID	2024-05-26	AID	NA	10.00	MATERIAL COOPERATION	diplomatic 	Fumio Kishida	Japan	740	GOV	GOV	prime minister	Japanese Prime Minister Fumio Kishida	Fumio Kishida	None	None	None	NON	NON	sunday	Sunday	None	None	None	None	None	None	None	None	None		None	Kyodo News	2024-05-26	Yoon | Fumio Kishida | Kishida | Yoon Suk Yeol 	None	Seoul | Democratic People’s Republic of Korea | People’s Republic of China | United States | Tokyo | Japan | Republic of Korea 	English	NGEC_coder-Vers001-b1-Run-001
20240526-6504-7f19263e03f8_REQUEST	2024-05-26	REQUEST	None	0.00	VERBAL CONFLICT	diplomatic 	None	Norway	385	None	None	None	Norway	None	None	Palestinian Territories	None	GOV	GOV	prime minister	Palestinian prime minister	None	None	None	None	None	None	None	None	None	high level EU officials; foreign ministers	None	Associated Press Newswires	2024-05-26	Mohammad Mustafa | Espen Barth Eide 	European Union | EU 	Ireland | Kingdom of Spain | Jerusalem | State of Israel | Kingdom of Norway | West Bank | Brussels 	English	NGEC_coder-Vers001-b1-Run-001
20240526-6631-8ee744fe4a46_ASSAULT	2024-05-26	ASSAULT	None	-9.00	MATERIAL CONFLICT	military | terrorism 	None	Israel	666	None	None	None	Israel	None	Hama	Syria	652	CVL	CVL	settlement	Hamas	Hama	Rafaḩ	Rafaḩ	Rafah	Gaza Strip	PSE	31.29722	34.24357	281102	Rafah	PPLA2	Indo-Asian News Service	2024-05-26	Givati 	Ynet | IDF | The Israel Defense Forces | Xinhua news agency | Hamas 	State of Qatar | Rafaḩ | United States | State of Israel | Arab Republic of Egypt 	English	NGEC_coder-Vers001-b1-Run-001
20240526-6737-929318b1b844_AID	2024-05-26	AID	NA	10.00	MATERIAL COOPERATION	diplomatic 	Fumio Kishida	Japan	740	GOV	GOV	prime minister	Japanese Prime Minister Fumio Kishida	Fumio Kishida	None	None	None	None	None	None	None	None	Seoul	Seoul	None	Seoul	KOR	37.566	126.9784	1835848	Seoul	PPLC	Reuters News	2024-05-26	Li Qiang | Fumio Kishida | Kishida | Li 	None	Japan | Republic of Korea | Seoul 	English	NGEC_coder-Vers001-b1-Run-001
20240526-6860-cd392016cfd6_ASSAULT	2024-05-26	ASSAULT	None	-9.00	MATERIAL CONFLICT	human_rights | terrorism 	None	Saudi Arabia	670	None	None	None	Saudi Arabia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Sunday	None	Reuters News	2024-05-26	Antony Blinken | Jamal Khashoggi | Biden 	Washington Post | the Financial Times | State 	Republic of Yemen | United States Virgin Islands | Washington | United States | Kingdom of Saudi Arabia | State of Israel | Islamic Republic of Iran | Riyadh 	English	NGEC_coder-Vers001-b1-Run-001
20240526-7014-bc8a3b33d841_ACCUSE	2024-05-26	ACCUSE	None	-3.00	VERBAL CONFLICT	military | terrorism 	None	None	None	None	None	None	Ezzedine al - Qassam Brigades	None	Hama	Syria	652	CVL	CVL	settlement	Hamas	Hama	Tel Aviv	Tel Aviv	None	Tel Aviv	ISR	32.08088	34.78057	293397	Tel Aviv	PPLA	Agence France Presse	2024-05-26	None	AFP | The Ezzedine al - Qassam Brigades | Hamas | Telegram 	Gaza Strip | Rafaḩ | State of Israel | Tel Aviv 	English	NGEC_coder-Vers001-b1-Run-001
20240526-7014-bc8a3b33d841_ASSAULT_targeted	2024-05-26	ASSAULT	targeted	-10.00	MATERIAL CONFLICT	military | terrorism 	Hama	Syria	652	CVL	CVL	settlement	Hamas	Hama	None	None	None	NON	NON	sunday	Sunday	None	Tel Aviv	Tel Aviv	None	Tel Aviv	ISR	32.08088	34.78057	293397	Tel Aviv	PPLA	Agence France Presse	2024-05-26	None	AFP | The Ezzedine al - Qassam Brigades | Hamas | Telegram 	Gaza Strip | Rafaḩ | State of Israel | Tel Aviv 	English	NGEC_coder-Vers001-b1-Run-001
20240526-7114-7880474f3cde_ACCUSE	2024-05-26	ACCUSE	None	-3.00	VERBAL CONFLICT	election 	Tse-Addo	Ghana	452	CVL	CVL	community	TSE	Tse-Addo	Sergio Moro	Brazil	140	ELI	ELI	previously held a GOV role, so coded as ELI.	Sergio Moro	Sergio Moro	None	None	None	None	None	None	None	None		None	Folha de São Paulo	2024-05-26	Alexandre de Moraes | Moro | Sergio Moro 	Legislature | TSE | Judiciary | Senate | PT | PL 	None	Portuguese	NGEC_coder-Vers001-b1-Run-001
20240526-7538-d6a398007c3c_AID	2024-05-26	AID	NA	10.00	MATERIAL COOPERATION	diplomatic | terrorism 	None	None	None	None	None	None	Husseini Club	None	None; None	None; Iran	None; 630	GOV; GOV	GOV; GOV	president; president of the country	President fellow leaders; Iranian President Ibrahim Raisi	None; None	Nabatieh	Nabatieh	None	Nabatîyé	LBN	33.37717	35.48383	7870014	Nabatieh	PPL	National News Agency Lebanon	2024-05-26	Mojtaba Amani | Muhammad Raad | Ali Hassan Khalil | Howaida Al - Turk | Saad Al - Zein | Ibrahim Raisi | Khalil Hamdan | Bassem Lama | Nasser Jaber | Abdul Hussein Sadiq | Ali Daoun | Haj Hamid al - Khafaf | Ali Jaber | Nabih Berri | Ali al - Sistani | Hani Qubaisi 	Husseini Club | the Al - Zein League | Parliament | Party | the Presidency of the Movement “ Amal ” | Hezbollah 	Nabatieh | Lebanon 	Arabic	NGEC_coder-Vers001-b1-Run-001
20240526-7667-22d0159952dc_ACCUSE	2024-05-26	ACCUSE	None	-3.00	VERBAL CONFLICT	None	None	None	None	MIL	MIL	national security force	General Directorate of the Internal Security Forces	None	Two Happy People	Austria	305	JRN	JRN	filmaker	two people	Two Happy People	None	None	None	None	None	None	None	None	Saint Therese - Al - Haddat	None	National News Agency Lebanon	2024-05-26	H. 	Division | the Information Division | the Internal Security Forces - Public Relations Division | The General Directorate 	Saint Vincent and the Grenadines | Kingdom of Bahrain 	Arabic	NGEC_coder-Vers001-b1-Run-001
20240526-7956-b2e731f4ff02_AID	2024-05-26	AID	NA	10.00	MATERIAL COOPERATION	None	Miguel Díaz-Canel	Cuba	40	PTY	PTY	communist party	Miguel Díaz - Canel	Miguel Díaz-Canel	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None		None	Trend News Agency	2024-05-26	Miguel Díaz - Canel | Ilham Aliyev 	Trend 	Republic of Azerbaijan | Republic of Cuba 	English	NGEC_coder-Vers001-b1-Run-001
20240526-8048-c1b58ba9cbcd_AID	2024-05-26	AID	NA	10.00	MATERIAL COOPERATION	human_security 	NATO Parliamentary Assembly	Intergovernmental Organization	None	None	None	intergovernmental	NATO Parliamentary Assembly	NATO Parliamentary Assembly	None	None	None	None	None	None	None	None	Sofia	Sofia	Stolichna Obshtina	Sofia-Capital	BGR	42.69751	23.32415	727011	Sofia	PPLC	Trend News Agency	2024-05-26	None	the NATO Parliamentary Assembly | Parliament | the Milli Majlis ( | Trend | Trend News Agency 's | NATO 	Ukraine | Black Sea | Republic of Azerbaijan | Sofia | Republic of Bulgaria 	English	NGEC_coder-Vers001-b1-Run-001
20240526-8144-04501529c1d5_AID	2024-05-26	AID	NA	10.00	MATERIAL COOPERATION	None	Fumio Kishida	Japan	740	GOV	GOV	prime minister	Japanese Prime Minister Fumio Kishida	Fumio Kishida	None	None	None	None	None	None	None	None	Seoul	Seoul	None	Seoul	KOR	37.566	126.9784	1835848	Seoul	PPLC	Jiji Press English News Service	2024-05-26	Yoon Suk - yeol | Yoon | Fumio Kishida | Kishida 	None	Japan | Republic of Korea | Seoul 	English	NGEC_coder-Vers001-b1-Run-001
20240526-8543-20e48d47c443_COERCE_arrest	2024-05-26	COERCE	arrest	-7.00	MATERIAL CONFLICT	None	None	China	710	COP	COP	police	Changsha police	None	None	None	None	UNK	UNK	men	two men	None	None	None	None	None	None	None	None	None	Lake City	None	香港01网 (简体)	2024-05-26	Jay Chou 's | Jay Chou | Zou | Qing Mouwei 	None	Changsha 	Chinese	NGEC_coder-Vers001-b1-Run-001
20240526-8543-20e48d47c443_COERCE_misinformation	2024-05-26	COERCE	misinformation	-6.50	MATERIAL CONFLICT	None	Zimbabwe Open University	Zimbabwe	552	GOV	GOV	public sector	Zou	Zimbabwe Open University	Jay Chou	Taiwan	None	CVL	CVL	individuals	Jay Chou	Jay Chou	None	None	None	None	None	None	None	None	Lake City	None	香港01网 (简体)	2024-05-26	Jay Chou 's | Jay Chou | Zou | Qing Mouwei 	None	Changsha 	Chinese	NGEC_coder-Vers001-b1-Run-001
20240526-9205-a6d22b1120de_AID	2024-05-26	AID	NA	10.00	MATERIAL COOPERATION	None	Li Qiang	China	710	ELI	ELI	previously held a GOV role, so coded as ELI.	Chinese Premier Li Qiang	Li Qiang	None	None	None	None	None	None	None	None	Seoul	Seoul	None	Seoul	KOR	37.566	126.9784	1835848	Seoul	PPLC	香港01网 (简体)	2024-05-26	Li Qiang | Lee Jae - hyun 	Xinhua News Agency | Samsung | Samsung Group 	Republic of Korea | Seoul | People’s Republic of China 	Chinese	NGEC_coder-Vers001-b1-Run-001
20240526-9823-3aec43481fee_AID	2024-05-26	AID	NA	10.00	MATERIAL COOPERATION	military | diplomatic 	Fernando Méndez	Argentina	160	CVL	CVL	football player	Captain Fernando Méndez	Fernando Méndez	None	None	None	None	None	None	None	None	Kingdom of Spain	None	None	None	ESP	40.0	-4.0	2510769	Port of Cádiz	PCLI	El Mercurio	2024-05-26	Andrés Montero | Gonzalo Sanhueza | Ricardo de Tezanos Pinto | Jorge Riesco | Ricardo Mewes | Maya Fernández | Susana Jiménez | Juan Andrés de la Maza | Gonzalo Uriarte | Arturo Prat | Fernando Méndez | Juan Carlos Lagos | Javier Velasco | Alfonso Peró | Carlos Lavín Subercaseux 	the Armed Forces | Sonami | CPC | the Chile - Spain Business Council | the Chilean Navy 	Kingdom of Spain 	Spanish	NGEC_coder-Vers001-b1-Run-001
20240526-0547-91f2985d2032_REQUEST	2024-05-26	REQUEST	None	0.00	VERBAL CONFLICT	election | migration | illegal_drugs 	None	None	None	GOV	GOV	state councilor	councilor	None	Gabriel Boric	Chile	155	GOV	GOV	president	Gabriel Boric	Gabriel Boric	Quinta Normal	Santiago	Provincia de Santiago	Santiago Metropolitan	CHL	-33.44186	-70.67899	3873992	Quinta Normal	PPLX	El Mercurio	2024-05-26	Matthei | Gabriel Boric | Boric | Evelyn Matthei 	Chile Vamos 	Quinta Normal | Republic of Chile | Providencia 	Spanish	NGEC_coder-Vers001-b1-Run-001
20240526-0862-e48c1420f15d_ASSAULT	2024-05-26	ASSAULT	None	-9.00	MATERIAL CONFLICT	military 	None; None; National Forest Corporation	None; None; Chile	None; None; 155	GOV; None; GOV	GOV; None; GOV	firefighter; None; government organization	volunteer firefighter; Francisco Mondaca Mella; Conaf brigade member	None; None; National Forest Corporation	None	None	None	None	None	None	Franco Pinto Orellana	None	Viña del Mar	Viña del Mar	Provincia de Valparaíso	Valparaíso	CHL	-33.02457	-71.55183	3868121	Viña del Mar; Quilpué	PPL	El Mercurio	2024-05-26	Jeanette Oliva | Franco Pinto Orellana | Osvaldo Ossandón | Francisco Mondaca Mella 	PDI | Bidema | the Environmental Crime Brigade | Fire Company | Fire Company of Valparaíso | Suzuki | Conaf 	Quilpué | Placilla | Easter Island | Viña del Mar 	Spanish	NGEC_coder-Vers001-b1-Run-001
20240526-1083-810e7a375ad3_REQUEST	2024-05-26	REQUEST	None	0.00	VERBAL CONFLICT	None	Volodymyr Zelenskyy	Ukraine	369	GOV	GOV	president	Volodymyr Zelenskiy	Volodymyr Zelenskyy	Xi Jinping; Joe Biden	China; United States	710; 2	PTY; GOV	PTY; GOV	communist party; president	Xi Jinping; Joe Biden	Xi Jinping; Joe Biden	Switzerland	None	None	None	CHE	47.00016	8.01427	2658434	Switzerland	PCLI	The Guardian	2024-05-26	Ihor Terekhov | Joe Biden | Volodymyr Zelenskiy | Zelenskiy | Xi Jinping 	None	Ukraine | United States | Kharkiv | Switzerland | Moscow 	English	NGEC_coder-Vers001-b1-Run-001
